Time [s],Velocity [km/h],Elevation [m],Battery Temperature [°C],Ambient Temperature [°C]
0,0,500,3,3
0.1,0,495.68,3,3
0.2,0.12,495.67,3,3
0.3,0.32,495.66,3,3
0.4,0.72,495.65,3,3
0.5,0.74,495.64,3,3
0.6,0.94,495.63,3,3
0.7,1,495.62,3,3
0.8,1.05,495.61,3,3
0.9,1.16,495.6,3,3
1,1.23,495.59,3,3
1.1,1.19,495.58,3,3
1.2,1.17,495.58,3,3
1.3,1.15,495.57,3,3
1.4,1.08,495.56,3,3
1.5,1.02,495.55,3,3
1.6,0.98,495.54,3,3
1.7,0.92,495.53,3,3
1.8,0.88,495.52,3,3
1.9,0.82,495.51,3,3
2,0.78,495.5,3,3
2.1,0.77,495.49,3,3
2.2,0.72,495.48,3,3
2.3,0.72,495.47,3,3
2.4,0.75,495.46,3,3
2.5,0.81,495.45,3,3
2.6,0.86,495.44,3,3
2.7,0.9,495.43,3,3
2.8,1.01,495.42,3,3
2.9,1.15,495.41,3,3
3,1.19,495.4,3,3
3.1,1.33,495.39,3,3
3.2,1.41,495.38,3,3
3.3,1.53,495.37,3,3
3.4,1.68,495.36,3,3
3.5,1.83,495.35,3,3
3.6,1.95,495.34,3,3
3.7,2.07,495.33,3,3
3.8,2.18,495.32,3,3
3.9,2.28,495.31,3,3
4,2.39,495.3,3,3
4.1,2.46,495.29,3,3
4.2,2.48,495.28,3,3
4.3,2.47,495.27,3,3
4.4,2.44,495.26,3,3
4.5,2.43,495.25,3,3
4.6,2.41,495.24,3,3
4.7,2.4,495.23,3,3
4.8,2.39,495.22,3,3
4.9,2.39,495.21,3,3
5,2.38,495.2,3,3
5.1,2.38,495.19,3,3
5.2,2.34,495.18,3,3
5.3,2.3,495.17,3,3
5.4,2.24,495.16,3,3
5.5,2.16,495.15,3,3
5.6,2.09,495.14,3,3
5.7,2.01,495.13,3,3
5.8,1.95,495.12,3,3
5.9,1.86,495.11,3,3
6,1.81,495.1,3,3
6.1,1.77,495.09,3,3
6.2,1.72,495.08,3,3
6.3,1.69,495.07,3,3
6.4,1.66,495.06,3,3
6.5,1.66,495.06,3,3
6.6,1.66,495.05,3.22,3
6.7,1.67,495.04,3.78,3
6.8,1.69,495.03,4,3
6.9,1.7,495.02,4,3
7,1.73,495.01,4,3
7.1,1.76,495,4,3
7.2,1.81,494.99,4,3
7.3,1.85,494.98,4,3
7.4,1.9,494.97,4,3
7.5,1.95,494.96,4,3
7.6,2.03,494.95,4,3
7.7,2.07,494.94,4,3
7.8,2.13,494.93,4,3
7.9,2.17,494.92,4,3
8,2.2,494.91,4,3
8.1,2.22,494.9,4,3
8.2,2.24,494.89,4,3
8.3,2.28,494.88,4,3
8.4,2.28,494.87,4,3
8.5,2.3,494.86,4,3
8.6,2.33,494.85,4,3
8.7,2.34,494.84,4,3
8.8,2.36,494.83,4,3
8.9,2.34,494.82,4,3
9,2.38,494.81,4,3
9.1,2.32,494.8,4,3
9.2,2.3,494.79,4,3
9.3,2.3,494.78,4,3
9.4,2.27,494.77,4,3
9.5,2.22,494.76,4,3
9.6,2.22,494.75,4,3
9.7,2.2,494.74,4,3
9.8,2.19,494.73,4,3
9.9,2.2,494.72,4,3
10,2.2,494.71,4,3
10.1,2.22,494.7,4,3
10.2,2.23,494.69,4,3
10.3,2.27,494.68,4,3
10.4,2.26,494.67,4,3
10.5,2.25,494.66,4,3
10.6,2.28,494.65,4,3
10.7,2.26,494.64,4,3
10.8,2.25,494.63,4,3
10.9,2.22,494.62,4,3
11,2.15,494.61,4,3
11.1,2.11,494.6,4,3
11.2,2.07,494.59,4,3
11.3,2.03,494.58,4,3
11.4,1.98,494.57,4,3
11.5,1.93,494.56,4,3
11.6,1.87,494.55,4,3
11.7,1.82,494.54,4,3
11.8,1.78,494.54,4,3
11.9,1.7,494.53,4,3
12,1.63,494.52,4,3
12.1,1.56,494.51,4,3
12.2,1.42,494.5,4,3
12.3,1.35,494.49,4,3
12.4,1.2,494.48,4,3
12.5,1.14,494.47,4,3
12.6,1.1,494.46,4,3
12.7,0.92,494.45,4,3
12.8,0.85,494.44,4,3
12.9,0.81,494.43,4,3
13,0.66,494.42,4,3
13.1,0.66,494.41,4,3
13.2,0.59,494.4,4,3
13.3,0.47,494.39,4,3
13.4,0.21,494.38,4,3
13.5,0.17,494.37,4,3
13.6,0.16,494.36,4,3
13.7,0.14,494.35,4,3
13.8,0.14,494.34,4,3
